date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-06-14, 13:01:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:01:56	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-06-14, 13:01:58	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2021-06-14, 13:02:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:02:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:12	0 Hz	0 W	1E3 mbar	1E3 mbar
